Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR,Silent SNR
66.0,1047.4818670180498,62895149.76304025,1081.5553729709525,9269.913784749959,2.518500146926509,41669.88019004943,5.9184753452772965,0.0,10.152440755677292,13.874485855784835
68.0,189.20308932281418,61249132.59022169,1086.243686806575,1955190.2657576764,1.5793704488544296,390014.35806668835,3.7115205548079095,0.0,1.7371866293901983,2.8958326286576557
69.0,1556.8196223300154,101546085.6393912,1092.1161109191587,20685.263329048074,2.430291229924751,40797.13996549701,5.711184390323165,0.0,19.380873065554226,28.966286376178438
70.0,159.6881433775609,110079823.53647017,1090.2842342567217,416846.8971789097,2.3213227439854336,397577.39273257635,5.4551084483657695,0.0,1.774751002511488,2.9346196967130194
71.0,114.4038685149787,56.43801270377037,912.4449400432371,259.6169627905226,-179.07312815486225,159.41999772116927,-420.8218511639263,0.0,1.1096865000205969,1.6603771464406039
72.0,-58.6839771134056,66316785710.712776,1077.1793151640625,12033751300.075365,1.4002725775633962,2547212424.290279,3.290640557273981,0.0,-0.4934448123647543,-1.5252694520500916
73.0,125.94004562521977,20.769119752125192,1032.4761227841975,29.540848884519857,106.95413085167905,34.54391797331546,251.34220750144578,0.2181958718780057,1.3681085563177722,1.9970693063220106
75.0,110.83752749302614,69.47720786025745,1084.4456656186912,6.470357411730964,8.925404861071192,6.449952644063948,20.974701423517303,0.28122788150049405,1.265632160126946,2.190383109538291
76.0,104.41033254728713,24.61666316266743,1071.1899265267677,25.20194599860428,89.6858139626418,30.317265054348606,210.76166281220824,0.05141344207494036,1.3337271830515443,2.1084340520454625
77.0,120.78885681141958,68.82611949590435,1098.9873018020483,9.409952621730733,14.31049771830071,9.40976753723432,33.62966963800667,0.49606411509913473,1.5090027491698617,2.751539344742191
78.0,267.1633921924939,70.10058862093193,1104.8911948621724,2.6241440377519747,5.258580405422827,1.6792317606767966,12.357663952743644,0.9994576641352081,2.182612984734688,6.873645672651805
79.0,208.59340805902562,134.08506566242923,1094.1146153411241,4.472615035493781,4.923907325515426,3.8880315679912933,11.57118221496125,0.9999914525654466,2.677160835526066,3.4988359602615673
80.0,188.7283659647111,53.793643618945275,1090.3560021933051,4.112654808125084,12.497399319170063,4.112186012237027,29.36888840004965,0.5954351345482033,1.6853528989164266,3.2368643988499506
82.0,28.126984048844133,31.10350309724186,1104.452306866642,44.72177444491992,35.004363316928995,44.72355655972017,82.26025379478314,0.03847820572445326,0.2910487818650943,0.8473045858328611
83.0,222.38836487271266,22.78498388598208,1029.5501866193374,21.557759165330364,114.49148918861671,25.218179534661278,269.0549995932493,-0.09175135319872418,1.7767486681449,5.764528711610469
84.0,905.8708792285244,136817731.95549887,1082.417170475454,46212.51472818157,2.451152358781865,97195.51694196234,5.760208043137383,0.0,11.620349430540573,37.406028928862
85.0,50.73002031972634,26.625431739008224,973.7848038869989,232.0888683037373,-126.12895971590288,183.4094100630371,-296.40305533237176,0.0,0.47271934570884433,1.4320716592959675
87.0,460.54138277852087,228829293.00683865,1091.0180272128703,121455.80447081826,2.398220299353831,301488.0376143552,5.635817703481503,0.0,5.405565009882101,10.733751636700624
88.0,149.50809395409377,140.43263134440105,1088.3593490964388,8.290430336258009,4.913976439214071,5.94727063884518,11.547844632153067,0.9986854593304904,1.7648010188863033,1.9692325636473955
89.0,780.3162379665534,3946346.638874215,1091.932119835403,1518.6820449917418,-2.8115332209625876,4928.371081506702,-6.607103069262081,0.0,6.57333042037231,12.311172224008269
90.0,130.18220578100033,89.83112558835649,1086.473011108283,7.730969411614716,9.658043435207855,7.662154749232955,22.696402072738458,0.5173425499706877,1.0299561549913785,1.7588076756558284
91.0,657.840260206087,383539.75381165283,1091.2558753167666,116.9962537061474,3.059963462694812,730.8425015863714,7.1909141373328085,0.9999995368795371,4.635790109920719,8.34891066591729
92.0,245.0622132281623,55.404692445934295,1094.4800929395578,3.821284275498816,14.640872472259108,3.820928325647955,34.406050309808904,0.7571257974035864,1.8792809798616812,2.9823878921007108
93.0,150.56337008591294,46.86592030980506,1082.8042402238516,8.454046668807955,23.523122483398787,8.453255378347178,55.27933783598715,0.41573846557684846,1.0939448934721085,2.3838145540908027
94.0,-55.9781984522006,inf,1086.88353793857,inf,-0.4799295363761529,inf,-1.1278344104839593,0.0,-0.5042670362653532,-1.105437502854424
95.0,866.0596544099133,38700891.103652366,1091.3777489394542,3153.8027957007844,2.572254073639948,33104.124093527666,6.044797073053878,0.999999529055478,10.500775531848182,13.166431611207248
96.0,232.61670633248193,84.74661732487459,1086.5216138748053,3.94194760670507,5.300243465349447,2.2428483494743463,12.455572143571201,0.9998596477677221,3.334690184431925,4.718572997773645
98.0,-282.4074231901776,673.0769556876353,1042.1084125611417,73.75526156673392,26.77480697153438,73.75186619961032,62.9207963831058,-1.7981863129820295,-2.6135040036168804,-5.181510724173598
99.0,106.74307692544568,39.24455379634212,1094.0049935210914,7.88368353116632,18.571279079409134,7.8836660215353405,43.64250583661147,0.39780798685041596,1.234098558151559,2.2311159755878105
